timestamp,open,high,low,close,volume
2025-04-25 00:00,49998,50290,49548,49945,1889
2025-04-25 00:10,49945,50290,49548,49927,1329
2025-04-25 00:20,49927,50290,49548,49921,1080
2025-04-25 00:30,49921,50290,49443,49884,1829
2025-04-25 00:40,49884,50290,49405,49859,1503
2025-04-25 00:50,49859,50290,49405,49851,1079
2025-04-25 01:00,49851,50290,49383,49841,1240
2025-04-25 01:10,49841,50290,49383,49838,1506
2025-04-25 01:20,49838,50314,49383,49845,1751
2025-04-25 01:30,49845,50314,49383,49847,1149
2025-04-25 01:40,49847,50314,49383,49848,1432
2025-04-25 01:50,49848,50314,49383,49848,1766
2025-04-25 02:00,49848,50314,49383,49848,1427
2025-04-25 02:10,49848,50314,49383,49848,1965
2025-04-25 02:20,49848,50314,49375,49845,1328
2025-04-25 02:30,49845,50314,49375,49844,1349
2025-04-25 02:40,49844,50314,49375,49844,1293
2025-04-25 02:50,49844,50314,49375,49844,1286
2025-04-25 03:00,49844,50314,49375,49844,1643
2025-04-25 03:10,49844,50314,49375,49844,1163
2025-04-25 03:20,49844,50314,49375,49844,1360
2025-04-25 03:30,49844,50335,49375,49851,1271
2025-04-25 03:40,49851,50335,49375,49853,1224
2025-04-25 03:50,49853,50335,49375,49854,1556
2025-04-25 04:00,49854,50335,49375,49854,1571
2025-04-25 04:10,49854,50335,49375,49854,1479
2025-04-25 04:20,49854,50335,49375,49854,1298
2025-04-25 04:30,49854,50335,49375,49854,1846
2025-04-25 04:40,49854,50335,49375,49854,1913
2025-04-25 04:50,49854,50335,49375,49854,1128
2025-04-25 05:00,49854,50335,49369,49852,1057
2025-04-25 05:10,49852,50335,49369,49852,1568
2025-04-25 05:20,49852,50335,49369,49852,1885
2025-04-25 05:30,49852,50335,49369,49852,1922
2025-04-25 05:40,49852,50335,49362,49849,1091
2025-04-25 05:50,49849,50335,49362,49848,1593
2025-04-25 06:00,49848,50335,49362,49848,1376
2025-04-25 06:10,49848,50335,49362,49848,1690
2025-04-25 06:20,49848,50335,49362,49848,1639
2025-04-25 06:30,49848,50335,49362,49848,1156
2025-04-25 06:40,49848,50335,49362,49848,1310
2025-04-25 06:50,49848,50335,49362,49848,1316
2025-04-25 07:00,49848,50335,49362,49848,1072
2025-04-25 07:10,49848,50335,49362,49848,1424
2025-04-25 07:20,49848,50335,49362,49848,1643
2025-04-25 07:30,49848,50335,49362,49848,1333
2025-04-25 07:40,49848,50335,49362,49848,1275
2025-04-25 07:50,49848,50335,49362,49848,1604
2025-04-25 08:00,49848,50335,49362,49848,1470
2025-04-25 08:10,49848,50335,49362,49848,1927
2025-04-25 08:20,49848,50335,49362,49848,1883
2025-04-25 08:30,49848,50335,49362,49848,1990
2025-04-25 08:40,49848,50335,49362,49848,1491
2025-04-25 08:50,49848,50335,49362,49848,1877
2025-04-25 09:00,49848,50335,49362,49848,1539
2025-04-25 09:10,49848,50335,49362,49848,1200
2025-04-25 09:20,49848,50335,49362,49848,1030
2025-04-25 09:30,49848,50335,49362,49848,1815
2025-04-25 09:40,49848,50335,49362,49848,1341
2025-04-25 09:50,49848,50335,49362,49848,1911
2025-04-25 10:00,49848,50335,49362,49848,1269
2025-04-25 10:10,49848,50335,49362,49848,1665
2025-04-25 10:20,49848,50335,49362,49848,1332
2025-04-25 10:30,49848,50335,49362,49848,1177
2025-04-25 10:40,49848,50335,49362,49848,1659
2025-04-25 10:50,49848,50335,49362,49848,1002
2025-04-25 11:00,49848,50335,49362,49848,1860
2025-04-25 11:10,49848,50335,49362,49848,1070
2025-04-25 11:20,49848,50335,49362,49848,1815
2025-04-25 11:30,49848,50335,49357,49846,1779
2025-04-25 11:40,49846,50335,49357,49846,1204
2025-04-25 11:50,49846,50335,49357,49846,1665
2025-04-25 12:00,49846,50335,49357,49846,1753
2025-04-25 12:10,49846,50335,49357,49846,1337
2025-04-25 12:20,49846,50335,49357,49846,1165
2025-04-25 12:30,49846,50335,49357,49846,1780
2025-04-25 12:40,49846,50335,49357,49846,1128
2025-04-25 12:50,49846,50335,49357,49846,1076
2025-04-25 13:00,49846,50335,49357,49846,1521
2025-04-25 13:10,49846,50335,49357,49846,1662
2025-04-25 13:20,49846,50335,49357,49846,1919
2025-04-25 13:30,49846,50335,49357,49846,1008
2025-04-25 13:40,49846,50335,49357,49846,1156
2025-04-25 13:50,49846,50335,49357,49846,1907
2025-04-25 14:00,49846,50335,49357,49846,1935
2025-04-25 14:10,49846,50335,49357,49846,1838
2025-04-25 14:20,49846,50335,49357,49846,1519
2025-04-25 14:30,49846,50335,49357,49846,1347
2025-04-25 14:40,49846,50335,49357,49846,1638
2025-04-25 14:50,49846,50335,49357,49846,1382
2025-04-25 15:00,49846,50335,49357,49846,1345
2025-04-25 15:10,49846,50339,49357,49847,1293
2025-04-25 15:20,49847,50339,49357,49847,1635
2025-04-25 15:30,49847,50339,49357,49847,1331
2025-04-25 15:40,49847,50339,49357,49847,1319
2025-04-25 15:50,49847,50339,49357,49847,1894
2025-04-25 16:00,49847,50339,49357,49847,1390
2025-04-25 16:10,49847,50339,49357,49847,1843
2025-04-25 16:20,49847,50339,49357,49847,1572
2025-04-25 16:30,49847,50339,49357,49847,1364
